Accuracy,F1,Precision,Recall
0.9403,0.9259,0.8929,0.9615
0.9254,0.9315,0.9189,0.9444
0.9403,0.9286,0.9286,0.9286
0.8955,0.8923,0.9355,0.8529
0.9104,0.9231,0.9,0.9474
0.8657,0.8732,0.8611,0.8857
0.8358,0.8197,0.8333,0.8065
0.8806,0.8571,0.8889,0.8276
0.9104,0.9,0.9,0.9
0.8955,0.8923,0.9355,0.8529
0.9254,0.9351,0.9231,0.9474
0.8806,0.8824,1.0,0.7895
0.8657,0.8571,0.9643,0.7714
0.9403,0.9429,0.8919,1.0
0.9552,0.9589,0.9722,0.9459
0.9104,0.9032,0.9032,0.9032
0.9254,0.9153,0.931,0.9
0.8955,0.8889,0.875,0.9032
0.9254,0.9383,1.0,0.8837
0.9104,0.8966,0.8387,0.963
0.9104,0.9143,0.8649,0.9697
0.8806,0.8947,0.9444,0.85
0.9104,0.9091,0.9091,0.9091
0.9104,0.9286,0.907,0.9512
0.8209,0.8125,0.8387,0.7879
0.8806,0.8974,0.875,0.9211
0.8806,0.8788,0.8788,0.8788
0.9701,0.9737,0.9487,1.0
0.9104,0.8966,0.8966,0.8966
0.9104,0.9032,0.9032,0.9032
0.8507,0.8276,0.7273,0.96
0.9104,0.9062,0.9355,0.8788
0.9552,0.9538,1.0,0.9118
0.9254,0.918,0.875,0.9655
0.9254,0.9123,0.8966,0.9286
0.9104,0.9189,0.9189,0.9189
0.9104,0.9231,0.973,0.878
0.9104,0.9,0.9,0.9
0.9104,0.9167,0.8919,0.9429
0.8806,0.8824,0.8333,0.9375
0.9403,0.9394,0.9394,0.9394
0.8955,0.9014,0.9143,0.8889
0.9254,0.918,0.9032,0.9333
0.8806,0.8889,0.9143,0.8649
0.9254,0.9333,0.9722,0.8974
0.9104,0.925,0.925,0.925
0.8806,0.875,0.8235,0.9333
0.8955,0.8955,0.8824,0.9091
0.9403,0.9333,0.9032,0.9655
0.9701,0.973,0.973,0.973
0.8955,0.8627,0.88,0.8462
0.9104,0.9,0.931,0.871
0.8955,0.8889,0.9032,0.875
0.8507,0.8437,0.9643,0.75
0.8657,0.8889,0.9474,0.8372
0.9254,0.9091,0.8929,0.9259
0.9104,0.8889,0.8889,0.8889
0.8955,0.8814,0.8966,0.8667
0.8806,0.875,0.9032,0.8485
0.9701,0.9697,1.0,0.9412
0.8806,0.8571,0.7742,0.96
0.8955,0.9067,0.8293,1.0
0.9104,0.9032,0.9333,0.875
0.9552,0.9524,0.9091,1.0
0.9254,0.9296,0.9429,0.9167
0.9254,0.9153,0.871,0.9643
0.9104,0.9143,0.9412,0.8889
0.9254,0.9275,0.9412,0.9143
0.8657,0.8615,0.8235,0.9032
0.9104,0.8929,0.8929,0.8929
0.9254,0.9296,0.9167,0.9429
0.9403,0.931,0.931,0.931
0.9254,0.9412,0.9302,0.9524
0.8955,0.8889,0.8485,0.9333
0.9104,0.9167,0.9429,0.8919
0.8955,0.9014,0.9143,0.8889
0.9552,0.9538,0.9118,1.0
0.8657,0.8615,0.875,0.8485
0.9104,0.9211,0.9722,0.875
0.9254,0.9206,0.9667,0.8788
0.9552,0.9524,0.9677,0.9375
0.8358,0.8197,0.8065,0.8333
0.9403,0.9167,0.8462,1.0
0.9254,0.9254,0.9688,0.8857
0.9701,0.9714,0.9714,0.9714
0.9254,0.9231,0.8824,0.9677
0.8657,0.8657,0.8788,0.8529
0.806,0.8169,0.8529,0.7838
0.8806,0.8857,0.8857,0.8857
0.9403,0.9459,0.9211,0.9722
0.9104,0.9143,0.9143,0.9143
0.8806,0.9,0.8571,0.9474
0.8955,0.9091,0.8974,0.9211
0.9104,0.9167,0.8684,0.9706
0.8955,0.8923,0.9355,0.8529
0.9851,0.9831,0.9667,1.0
0.9403,0.9375,1.0,0.8824
0.8507,0.8611,0.8857,0.8378
0.8955,0.8852,0.9643,0.8182
0.9104,0.8929,0.9259,0.8621
